task,model_name,accuracy,macro_f1,weighted_f1,notes,artifact_path,metrics_path
parent_queue,tfidf_logistic_regression,0.4409,0.4121,0.443,V1 interpretable baseline using customer_message.,/Users/shubhamjoshi/Documents/Ops-copilot/verticals/ticket-intelligence/ml/ticket_intelligence/artifacts/category_model.pkl,/Users/shubhamjoshi/Documents/Ops-copilot/verticals/ticket-intelligence/ml/ticket_intelligence/outputs/metrics.json
priority,tfidf_logistic_regression,0.524,0.5042,0.5235,V1 interpretable priority baseline using customer_message.,/Users/shubhamjoshi/Documents/Ops-copilot/verticals/ticket-intelligence/ml/ticket_intelligence/artifacts/priority_model.pkl,/Users/shubhamjoshi/Documents/Ops-copilot/verticals/ticket-intelligence/ml/ticket_intelligence/outputs/metrics.json
